id,questions,answer,source
1,依據食安法規定，應設置實驗室之食品業者，其資本額規模門檻為何？,食品業者規模為辦理工廠登記且資本額新臺幣一億元以上者。,2.pdf
2,未登記工廠申請納管的截止日期是哪一天？,資料中未提及未登記工廠申請納管的截止日期。,2.pdf
3,新修正之不動產說明書應記載及不得記載事項，生效日期為何？,資料不足，無法回答。,5.docx
4,在屏東大學公文系統中，若無法開啟公文製作，應檢查電腦中哪個資料夾是否存在？,資料不足，無法回答。,1.pdf
5,進行注射劑目視檢查時，檢查點的最低照明亮度應維持在多少範圍？,日光燈（例如：F13/T5或F15/T8）提供，或替代光源若可提供檢查點最低要求之照明強度亦可適用。,1.pdf
6,上市、上櫃食品業者若未依規定設置實驗室，將面臨多少罰鍰？,"依據食安法第 48 條規定，未設置實驗室，經命限期改正，屆期不改正者，處新臺幣3萬元以上300萬元以下罰鍰。情節重大者，並得命其歇業、停業或廢止登錄。
",2.pdf
7,納管輔導金的計算方式中，廠地面積在300平方公尺以內應繳交多少金額？,參考資料中未提及納管輔導金的計算方式及廠地面積與金額的對應關係。,2.pdf
8,不動產經紀人在不動產說明書上的簽章方式有何限制？,不動產說明書上的簽章必須為不動產經紀人本人親筆簽名，不得使用蓋章或代簽。,5.docx
9,在公文系統中，若要進行「內會」（單位內相互會辦），且對象為不同組/系的單位，應如何處理？,應先陳核單位主管後，再走內會流程。,5.docx
10,依據中華藥典，檢查注射劑時在每個背景下應進行大約幾秒的檢查？,大約五秒。,1.pdf
11,依據規定，「上市、上櫃之食品業者」的定義中，其餐飲收入佔比需達多少？,百分之五十以上。,2.pdf
12,汽車修理業或倉庫是否可以辦理未登記工廠納管？,根據提供的參考資料，無法得知汽車修理業或倉庫是否可以辦理未登記工廠納管。,2.pdf
13,不動產說明書是否必須指派不動產經紀人簽章？其目的為何？,不動產說明書是否必須指派不動產經紀人簽章，資料中未提及。,5.docx
14,在公文系統中，若想將公文存成可被 Word 開啟的檔案，應選擇哪種檔案格式？,RTF檔案。,5.docx
15,關於注射劑檢查，何謂「內在」或「固有」粒子？,「內在」或「固有」粒子是指已知或預期與特定產品配方組成相關的粒子，例如來自容器-封蓋之相互作用、藥品配方組成之變更（不溶性之降解產物），或隨著時間推移之溫度敏感性。,1.pdf
16,若食品業者已自設實驗室，是否可以將檢驗工作委外？,如為應自設實驗室的食品業者，對於應實施的自主檢驗，須由該業者自設實驗室自行檢驗，倘該實驗室評估後無法自行檢驗則委外檢驗。,2.pdf
17,申請特定工廠登記時，若要提出用電證明，須為哪個日期之前的證明文件？,資料不足，無法回答。,2.pdf
18,屏東大學公文系統建議將哪個 IP網段加入 IE 的信任網站以避免登入問題？,"120.118.118.*
",5.docx
19,進行注射劑檢查時，應使用哪兩種顏色的背景？,參考資料中未提及進行注射劑檢查時應使用的背景顏色。,1.pdf
20,若食品業者的產品檢出不合格，依食安法規定應採取什麼行動？,依據食安法第 7 條第 5 項規定，食品業者應即停止製造、加工、販賣及辦理回收，並通報主管機關。違反規定者，處新臺幣 3 萬元以上 300 萬元以下罰鍰，情節重大者可命歇業、停業或廢止登錄。,2.pdf
